,Indices,Prev Close,Last Traded,Change (Pts),% Change
0,S&P BSE Sensex,48564.27,49012.79,448.52,0.92
1,S&P BSE 100,14417.1,14572.3,155.2,1.08
2,S&P BSE 200,6042.13,6110.82,68.69,1.14
3,S&P BSE 500,18713.54,18933.24,219.7,1.17
4,S&P BSE MidCap,18524.83,18810.8,285.97,1.54
5,S&P BSE SmallCap,18329.79,18602.65,272.86,1.49
6,S&P BSE Carbonex,2337.43,2361.96,24.53,1.05
7,S&P BSE Greenex,3575.96,3621.74,45.78,1.28
8,S&P BSE AllCap,5328.71,5391.67,62.96,1.18
9,S&P BSE LargeCap,5477.15,5536.05,58.9,1.08
10,S&P BSE MidCap Select Index,7908.84,8027.69,118.85,1.5
11,S&P BSE SmallCap Select Index,3240.6,3282.82,42.22,1.3
12,S&P BSE Sensex 50,14946.74,15092.32,145.58,0.97
13,S&P BSE Sensex Next 50,38010.89,38651.8,640.91,1.69
